Date,Open,High,Low,Close,Adj Close,Volume
34540,3288.399902,3306.899902,3287.500000,3304.800049,3304.796631,0
34541,3324.399902,3356.399902,3324.399902,3354.000000,3353.996582,0
34542,3349.500000,3349.500000,3330.800049,3336.300049,3336.296631,0
34543,3317.300049,3317.300049,3289.899902,3313.899902,3313.896484,0
34544,3328.899902,3364.399902,3328.899902,3364.199951,3364.196533,0
34547,3379.899902,3427.899902,3379.899902,3427.899902,3427.896484,0
34548,3437.699951,3477.399902,3437.699951,3445.899902,3445.896484,0
34549,3445.899902,3460.199951,3429.699951,3434.399902,3434.396484,0
34550,3434.399902,3435.199951,3419.100098,3433.000000,3432.996582,0
34551,3433.000000,3460.500000,3429.500000,3454.300049,3454.296631,0
34554,3454.300049,3476.000000,3453.300049,3469.199951,3469.196533,0
34555,3456.600098,3456.600098,3428.600098,3438.399902,3438.396484,0
34556,3438.399902,3440.199951,3407.500000,3440.199951,3440.196533,0
34557,3440.199951,3468.899902,3402.199951,3408.199951,3408.196533,0
34558,3361.600098,3361.600098,3304.600098,3342.899902,3342.896484,0
34561,3342.899902,3361.600098,3304.600098,3342.899902,3342.896484,0
34562,3337.300049,3337.300049,3310.100098,3320.100098,3320.096680,0
34563,3320.100098,3351.500000,3294.399902,3301.300049,3301.296631,0
34564,3290.399902,3290.399902,3259.899902,3273.100098,3273.096680,0
34565,3273.100098,3291.399902,3244.600098,3260.399902,3260.396484,0
34568,3258.199951,3258.199951,3216.100098,3228.899902,3228.896729,0
34569,3228.899902,3247.399902,3204.800049,3246.800049,3246.796875,0
34570,3253.100098,3275.800049,3253.100098,3267.899902,3267.896484,0
34571,3277.800049,3304.000000,3277.800049,3290.199951,3290.196533,0
34572,3290.199951,3324.300049,3262.399902,3322.899902,3322.896484,0
34575,3342.500000,3381.199951,3342.500000,3366.699951,3366.696533,0
34576,3366.699951,3366.699951,3341.600098,3352.199951,3352.196533,0
34577,3352.199951,3355.699951,3325.500000,3337.000000,3336.996582,0
34578,3326.300049,3326.300049,3269.899902,3276.800049,3276.796631,0
34579,3276.800049,3300.500000,3232.600098,3239.699951,3239.696777,0
34582,3239.699951,3243.100098,3163.500000,3189.500000,3189.496826,0
34583,3164.399902,3164.399902,3127.199951,3135.199951,3135.196777,0
34584,3138.399902,3177.000000,3138.399902,3176.500000,3176.496826,0
34585,3192.600098,3267.000000,3192.600098,3262.500000,3262.496582,0
34586,3262.500000,3278.699951,3206.899902,3232.699951,3232.696777,0
34589,3202.699951,3202.699951,3183.199951,3184.699951,3184.696777,0
34590,3184.699951,3237.500000,3119.800049,3227.100098,3227.096924,0
34591,3226.199951,3226.199951,3189.100098,3208.500000,3208.496826,0
34592,3217.500000,3262.100098,3217.500000,3259.100098,3259.096680,0
34593,3259.100098,3286.000000,3211.199951,3218.600098,3218.596924,0
34596,3218.600098,3229.100098,3203.300049,3210.100098,3210.096924,0
34597,3190.300049,3190.300049,3159.399902,3166.100098,3166.096924,0
34598,3166.100098,3168.500000,3132.699951,3142.699951,3142.696777,0
34599,3142.699951,3154.899902,3120.800049,3140.899902,3140.896729,0
34600,3165.899902,3197.800049,3165.899902,3193.699951,3193.696777,0
34603,3193.699951,3214.199951,3170.699951,3175.600098,3175.596924,0
34604,3175.600098,3193.800049,3171.899902,3175.699951,3175.696777,0
34605,3199.100098,3239.800049,3199.100098,3234.899902,3234.896729,0
34606,3223.000000,3223.000000,3174.800049,3192.199951,3192.196777,0
34607,3186.199951,3186.199951,3159.600098,3176.600098,3176.596924,0
34610,3156.300049,3156.300049,3121.399902,3149.100098,3149.096924,0
34611,3149.100098,3166.600098,3140.899902,3165.199951,3165.196777,0
34612,3130.100098,3130.100098,3057.199951,3100.000000,3099.996826,0
34613,3100.000000,3107.899902,3072.100098,3105.300049,3105.296875,0
34614,3105.300049,3124.000000,3056.300049,3122.899902,3122.896729,0
34617,3143.300049,3162.800049,3143.300049,3159.300049,3159.296875,0
34618,3159.300049,3183.899902,3137.100098,3173.399902,3173.396729,0
34619,0,0,0,0,0,0
34620,3173.399902,3280.000000,3155.000000,3278.000000,3277.996582,0
34621,3278.000000,3294.300049,3243.800049,3247.000000,3246.996826,0
34624,3247.000000,3278.699951,3233.899902,3242.800049,3242.796875,0
